iter	Passed	Remaining
540	8589	70792
541	8603	70761
542	8616	70722
543	8631	70699
544	8646	70677
545	8662	70667
546	8685	70706
547	8702	70697
548	8719	70695
549	8736	70689
550	8754	70688
551	8770	70674
552	8786	70658
553	8802	70641
554	8817	70616
555	8832	70595
556	8847	70573
557	8864	70568
558	8892	70646
559	8909	70636
560	8923	70609
561	8938	70588
562	8957	70592
563	8972	70571
564	8987	70548
565	9004	70540
566	9020	70522
567	9035	70502
568	9050	70475
569	9066	70462
570	9089	70501
571	9104	70483
572	9121	70472
573	9135	70443
574	9156	70463
575	9172	70452
576	9190	70451
577	9207	70439
578	9222	70422
579	9242	70431
580	9264	70460
581	9286	70491
582	9317	70589
583	9332	70566
584	9346	70535
585	9363	70532
586	9379	70512
587	9394	70493
588	9410	70478
589	9427	70465
590	9444	70457
591	9464	70470
592	9483	70477
593	9501	70476
594	9531	70564
595	9550	70571
596	9568	70572
597	9590	70595
598	9606	70578
599	9621	70556
600	9637	70540
601	9654	70534
602	9671	70526
603	9687	70505
604	9703	70490
605	9719	70477
606	9743	70516
607	9764	70537
608	9782	70535
609	9799	70524
610	9815	70508
611	9829	70479
612	9843	70449
613	9857	70418
614	9881	70458
615	9898	70443
616	9917	70447
617	9930	70414
618	9945	70386
619	9958	70351
620	9973	70325
621	9987	70299
622	10002	70272
623	10015	70237
624	10029	70204
625	10042	70172
626	10056	70137
627	10070	70109
628	10084	70076
629	10098	70048
630	10120	70074
631	10135	70051
632	10149	70019
633	10163	69989
634	10177	69962
635	10192	69934
636	10205	69897
637	10219	69868
638	10235	69855
639	10250	69832
640	10264	69799
641	10280	69784
642	10295	69763
643	10309	69731
644	10322	69697
645	10336	69665
646	10349	69631
647	10362	69594
648	10376	69566
649	10390	69537
650	10403	69502
651	10417	69468
652	10430	69433
653	10445	69411
654	10469	69449
655	10483	69423
656	10498	69397
657	10512	69369
658	10526	69337
659	10539	69306
660	10552	69272
661	10567	69246
662	10580	69214
663	10594	69183
664	10608	69153
665	10622	69125
666	10636	69098
667	10650	69070
668	10663	69036
669	10678	69010
670	10691	68979
671	10705	68946
672	10719	68917
673	10732	68883
674	10746	68860
675	10759	68825
676	10773	68796
677	10788	68771
678	10819	68849
679	10832	68816
680	10845	68780
681	10858	68752
682	10876	68746
683	10893	68738
684	10907	68712
685	10921	68681
686	10936	68661
687	10950	68632
688	10965	68609
689	10980	68589
690	11002	68608
691	11015	68578
692	11029	68546
693	11043	68519
694	11056	68485
695	11069	68455
696	11083	68427
697	11097	68398
698	11111	68367
699	11125	68339
700	11140	68322
701	11155	68301
702	11171	68281
703	11187	68268
704	11200	68237
705	11213	68204
706	11228	68179
707	11242	68154
708	11255	68121
709	11270	68098
710	11284	68071
711	11297	68040
712	11311	68010
713	11325	67982
714	11346	67999
715	11360	67975
716	11375	67949
717	11388	67918
718	11403	67899
719	11421	67896
720	11438	67887
721	11456	67881
722	11471	67863
723	11485	67831
724	11499	67805
725	11513	67782
726	11529	67764
727	11543	67739
728	11557	67713
729	11572	67690
730	11585	67661
731	11600	67638
732	11614	67609
733	11628	67584
734	11643	67561
735	11655	67527
736	11670	67502
737	11684	67477
738	11707	67506
739	11721	67475
740	11735	67450
741	11748	67420
742	11761	67389
743	11776	67364
744	11791	67343
745	11804	67314
746	11818	67287
747	11831	67257
748	11845	67229
749	11859	67201
750	11873	67177
751	11888	67154
752	11901	67125
753	11915	67101
754	11929	67072
755	11945	67060
756	11959	67033
757	11974	67011
758	11988	66985
759	12002	66959
760	12015	66930
761	12031	66917
762	12045	66891
763	12059	66864
764	12075	66851
765	12089	66824
766	12102	66795
767	12116	66765
768	12129	66737
769	12143	66710
770	12157	66682
771	12170	66653
772	12184	66627
773	12198	66605
774	12219	66614
775	12232	66585
776	12246	66561
777	12262	66547
778	12277	66528
779	12292	66503
780	12306	66480
781	12319	66452
782	12332	66420
783	12348	66407
784	12364	66389
785	12382	66384
786	12396	66363
787	12410	66336
788	12425	66314
789	12439	66292
790	12456	66280
791	12470	66258
792	12485	66239
793	12498	66209
794	12512	66181
795	12525	66152
796	12538	66123
797	12552	66099
798	12566	66074
799	12581	66051
800	12594	66021
801	12608	65998
802	12621	65967
803	12634	65939
804	12659	65972
805	12675	65954
806	12688	65928
807	12702	65899
808	12716	65874
809	12730	65850
810	12744	65828
811	12757	65799
812	12771	65775
813	12785	65751
814	12799	65727
815	12816	65715
816	12832	65704
817	12847	65680
818	12862	65663
819	12877	65643
820	12890	65616
821	12905	65593
822	12925	65600
823	12939	65577
824	12953	65551
825	12967	65526
826	12981	65501
827	12994	65476
828	13008	65450
829	13021	65421
830	13034	65394
831	13048	65366
832	13061	65337
833	13077	65326
834	13092	65303
835	13106	65280
836	13120	65255
837	13134	65232
838	13147	65202
839	13160	65176
840	13175	65154
841	13188	65130
842	13202	65106
843	13216	65079
844	13229	65053
845	13244	65031
846	13264	65036
847	13278	65013
848	13291	64987
849	13305	64961
850	13318	64934
851	13332	64908
852	13345	64883
853	13359	64859
854	13373	64834
855	13386	64806
856	13401	64786
857	13416	64770
858	13430	64746
859	13445	64727
860	13459	64703
861	13474	64686
862	13488	64659
863	13502	64638
864	13516	64612
865	13530	64588
866	13543	64561
867	13557	64536
868	13570	64510
869	13584	64487
870	13605	64499
871	13619	64476
872	13633	64450
873	13647	64426
874	13661	64405
875	13675	64382
876	13689	64360
877	13705	64342
878	13719	64323
879	13733	64299
880	13747	64273
881	13761	64253
882	13775	64230
883	13790	64211
884	13806	64196
885	13821	64177
886	13912	64512
887	13939	64549
888	13953	64526
889	13967	64501
890	13980	64474
891	13994	64451
892	14007	64423
893	14023	64408
894	14039	64394
895	14053	64369
896	14066	64343
897	14081	64322
898	14098	64312
899	14117	64313
900	14133	64300
901	14148	64279
902	14161	64253
903	14174	64226
904	14189	64205
905	14204	64186
